userId,anonymousId,sessionId,browser,country,sessionStart,pages,duration
117,Chrome117__0.7213429624209275,0.19526278798082952,Chrome,UK,2023-04-02 08:31:00,7,100
94,Edge94__0.22936796420820404,0.5607597424102244,Edge,US,2023-04-02 09:38:00,5,90
134,Chrome134__0.6324857543851472,0.5110736380588019,Chrome,US,2023-04-02 10:14:00,2,31
22,Chrome22__0.18927727658867388,0.30713484429095206,Chrome,US,2023-04-02 10:27:00,5,63
42,Chrome42__0.37232185861232336,0.43125187489023764,Chrome,US,2023-04-02 10:44:00,7,128
61,Opera61__0.5771095797931649,0.060641986949571125,Opera,US,2023-04-02 11:08:00,5,68
19,Chrome19__0.36387176233231266,0.5178231970935658,Chrome,AU,2023-04-02 11:37:00,4,85
53,Chrome53__0.2041153223979817,0.7524479036842908,Chrome,US,2023-04-02 11:46:00,1,32
44,Chrome44__0.9984508112170205,0.77105004044306,Chrome,US,2023-04-02 12:07:00,4,57
125,Chrome125__0.30122824327795894,0.10990309437707713,Chrome,US,2023-04-02 13:46:00,5,95
81,Chrome81__0.11688465066930775,0.4861450451051019,Chrome,US,2023-04-02 14:04:00,8,172
66,Chrome66__0.79584268195669,0.08443990697567072,Chrome,UK,2023-04-02 14:21:00,3,75
149,Chrome149__0.9250177190945887,0.4125872154573662,Chrome,AU,2023-04-02 14:21:00,6,86
74,Chrome74__0.5935081172111358,0.8315929978310121,Chrome,US,2023-04-02 15:18:00,6,52
86,Chrome86__0.7680029290969446,0.23021221705213835,Chrome,UK,2023-04-02 15:20:00,4,45
127,Chrome127__0.16649179803515257,0.15075025881322413,Chrome,UK,2023-04-02 16:41:00,3,74
99,Samsung Internet99__0.17353695627859644,0.47448732692686635,Samsung Internet,AU,2023-04-02 17:34:00,3,68
80,Safari80__0.8515868187430815,0.25306302036075223,Safari,US,2023-04-02 17:48:00,6,120
49,Chrome49__0.948884344903526,0.47796269799152147,Chrome,AU,2023-04-02 17:49:00,1,23
36,Firefox36__0.8971193596981268,0.5298802855127263,Firefox,UK,2023-04-03 07:20:00,5,71
302,Safari302__0.3797593041379177,0.1111829526581094,Safari,US,2023-04-03 07:28:00,4,72
78,Chrome78__0.32819400397934584,0.759329738312627,Chrome,CA,2023-04-03 07:40:00,1,19
64,Chrome64__0.8951791875649255,0.7812593710349522,Chrome,US,2023-04-03 08:03:00,1,22
116,Firefox116__0.8918876784328444,0.8926404867850575,Firefox,UK,2023-04-03 08:08:00,1,23
20,Chrome20__0.5531044588868104,0.9469461902179717,Chrome,US,2023-04-03 09:09:00,2,55
80,Chrome80__0.8515868187430815,0.8461167240728307,Chrome,US,2023-04-03 09:12:00,6,93
98,Chrome98__0.33220215117721064,0.0097019952106554,Chrome,CA,2023-04-03 09:14:00,4,50
236,Edge236__0.7928091407966529,0.08977810864531643,Edge,UK,2023-04-03 10:31:00,7,108
150,Chrome150__0.6720632770889179,0.2940266929574755,Chrome,US,2023-04-03 10:41:00,5,72
218,Safari218__0.9486727551434573,0.44839496931585954,Safari,CA,2023-04-03 11:01:00,3,29
25,Chrome25__0.5336357516489791,0.2574586405379362,Chrome,US,2023-04-03 11:33:00,5,56
37,Chrome37__0.49679799939794034,0.10681452879882691,Chrome,UK,2023-04-03 11:36:00,7,103
118,Safari118__0.4976414120474677,0.9856350523309174,Safari,CA,2023-04-03 12:02:00,6,77
221,Chrome221__0.6884145249890365,0.06482623419875022,Chrome,US,2023-04-03 12:40:00,3,55
240,Safari240__0.785043387397826,0.5924099007301074,Safari,US,2023-04-03 13:14:00,6,71
50,Safari50__0.7960111304370068,0.6400839614710592,Safari,US,2023-04-03 14:04:00,3,72
293,Chrome293__0.9514151065184184,0.08469084453780851,Chrome,US,2023-04-03 14:09:00,4,68
8,Chrome8__0.4319639222666185,0.7839464333008708,Chrome,CA,2023-04-03 15:07:00,5,92
105,Samsung Internet105__0.097377514733896,0.7230233527948116,Samsung Internet,US,2023-04-03 15:10:00,5,105
127,Chrome127__0.16649179803515257,0.43578168454026067,Chrome,UK,2023-04-03 15:12:00,2,54
163,Firefox163__0.5701984940008074,0.7550162036280601,Firefox,US,2023-04-03 15:38:00,3,60
189,Chrome189__0.5856663040297998,0.14023372229065867,Chrome,AU,2023-04-03 15:42:00,4,88
321,Safari321__0.2302841404764837,0.664272849015072,Safari,US,2023-04-03 15:46:00,7,101
330,Opera330__0.6435941817140227,0.6429185471765213,Opera,US,2023-04-03 15:47:00,5,71
211,Chrome211__0.08080642028084051,0.7416181947846798,Chrome,US,2023-04-03 16:23:00,4,48
128,Chrome128__0.10996464145716556,0.15492868251056668,Chrome,CA,2023-04-03 17:14:00,7,113
201,Chrome201__0.12661736647340405,0.9952909149267737,Chrome,US,2023-04-03 18:00:00,1,24
227,Safari227__0.0231680815673041,0.6166013611266361,Safari,UK,2023-04-03 18:15:00,1,17
23,Safari23__0.7482411127708379,0.6577870210931505,Safari,US,2023-04-03 18:19:00,6,65
175,Firefox175__0.6753917039578383,0.10579336935849692,Firefox,US,2023-04-03 18:46:00,8,120
39,Chrome39__0.09293718040725452,0.3928959360366442,Chrome,AU,2023-04-04 07:32:00,5,52
129,Safari129__0.4356717958942411,0.1888685314892784,Safari,AU,2023-04-04 07:47:00,8,140
117,Chrome117__0.7213429624209275,0.46526595200552645,Chrome,UK,2023-04-04 07:48:00,1,36
470,Chrome470__0.2272780766446889,0.9936757075433214,Chrome,US,2023-04-04 08:12:00,7,96
297,Chrome297__0.9142938110052288,0.7527153778476479,Chrome,UK,2023-04-04 08:36:00,1,47
190,Safari190__0.38900634196601813,0.9499499023070299,Safari,US,2023-04-04 09:20:00,1,46
276,Chrome276__0.7435635342258946,0.9356218642585437,Chrome,UK,2023-04-04 09:37:00,7,130
317,Chrome317__0.32031581733416803,0.29218595777177936,Chrome,UK,2023-04-04 10:06:00,5,95
358,Chrome358__0.9320604817544802,0.2073320085714736,Chrome,CA,2023-04-04 10:15:00,6,66
250,Chrome250__0.49750015244720713,0.39233250749010606,Chrome,US,2023-04-04 10:33:00,7,78
301,Chrome301__0.2171428832037925,0.2412100437022624,Chrome,US,2023-04-04 10:44:00,6,77
288,Chrome288__0.9186088704537647,0.3918684384772828,Chrome,CA,2023-04-04 10:48:00,2,26
424,Safari424__0.1358239423794021,0.8010302979660937,Safari,US,2023-04-04 11:08:00,7,96
307,Chrome307__0.02999118199811135,0.49337848823136143,Chrome,UK,2023-04-04 11:12:00,7,125
254,Safari254__0.34710576287202777,0.6281688660317628,Safari,US,2023-04-04 11:14:00,6,90
316,Chrome316__0.5432955495503458,0.005010820113114045,Chrome,UK,2023-04-04 11:18:00,1,33
87,Opera87__0.08669140023892186,0.5572716041077685,Opera,UK,2023-04-04 12:24:00,3,62
266,Safari266__0.18507684674684577,0.009636553455097063,Safari,UK,2023-04-04 12:26:00,1,42
